date,Weighted_Price
2012-01-01,5.0
2012-01-02,5.0
2012-01-03,5.2525
2012-01-04,5.208159313655556
2012-01-05,6.2841271510761905
2012-01-06,6.438999047607142
2012-01-07,6.8
2012-01-08,6.95
2012-01-09,6.582769666666665
2012-01-10,6.602999999999999
2012-01-11,7.120684842337494
2012-01-12,7.062499999999999
2012-01-13,6.9692365244187515
2012-01-14,6.414081197579999
2012-01-15,7.15
2012-01-16,6.714285714285715
2012-01-17,6.1483461580375005
2012-01-18,6.240688438936111
2012-01-19,6.225714285714285
2012-01-20,6.834999999999999
2012-01-21,6.386
2012-01-22,6.485
2012-01-23,6.4075
2012-01-24,6.495555555555554
2012-01-25,6.2836637977861125
2012-01-26,6.184091794074999
2012-01-27,5.65142857142857
2012-01-28,4.91
2012-01-29,5.696
2012-01-30,5.544999999999999
2012-01-31,5.6140454556560995
2012-02-01,5.784578347825
2012-02-02,6.170195246214032
2012-02-03,6.205149061870368
2012-02-04,6.0954747419625
2012-02-05,5.839202668429167
2012-02-06,5.52625
2012-02-07,5.672000000000001
2012-02-08,5.742069750966667
2012-02-09,5.7835714285714275
2012-02-10,5.876923076923076
2012-02-11,5.605
2012-02-12,5.637499999999999
2012-02-13,5.648181818181818
2012-02-14,5.19323665560303
2012-02-15,4.945263157894737
2012-02-16,4.577144055188235
2012-02-17,4.690011362803124
2012-02-18,4.398910980869231
2012-02-19,4.331666666666666
2012-02-20,4.557995986628573
2012-02-21,4.484217150443752
2012-02-22,4.542749342733334
2012-02-23,4.889657323899999
2012-02-24,5.138749626680001
2012-02-25,5.038870406285715
2012-02-26,4.954744525542858
2012-02-27,5.049619004523076
2012-02-28,4.991630873960715
2012-02-29,4.952721849259999
2012-03-01,5.003911482863334
2012-03-02,4.765098423823529
2012-03-03,4.760811041077777
2012-03-04,4.793333333333333
2012-03-05,4.9496577627195135
2012-03-06,4.996287446934781
2012-03-07,5.059947778827588
2012-03-08,4.972471257226315
2012-03-09,5.018074118425001
2012-03-10,4.914899488455556
2012-03-11,4.926666666666667
2012-03-12,4.9590000000000005
2012-03-13,5.074693937022501
2012-03-14,5.37487217418846
2012-03-15,5.33782869389375
2012-03-16,5.34076923076923
2012-03-17,5.402222222222223
2012-03-18,5.318928475693334
2012-03-19,5.11387265022
2012-03-20,4.9108234823375
2012-03-21,4.936666666666667
2012-03-22,4.878290967266667
2012-03-23,4.762450717150001
2012-03-24,4.731428571428571
2012-03-25,4.642
2012-03-26,4.626121242606668
2012-03-27,4.785504216329413
2012-03-28,4.892921830539586
2012-03-29,4.827698761333334
2012-03-30,4.836740067071427
2012-03-31,4.9086644633
2012-04-01,4.816418011217646
2012-04-02,4.932927819879546
2012-04-03,4.968666666666667
2012-04-04,4.936244503809525
2012-04-05,4.959276106614285
2012-04-06,4.923051811154167
2012-04-07,4.83019278485
2012-04-08,4.769042307006667
2012-04-09,4.799090909090909
2012-04-10,4.822065650461537
2012-04-11,4.867793801124243
2012-04-12,4.843435406215789
2012-04-13,4.896836595095554
2012-04-14,4.976230279496297
2012-04-15,4.957076090463636
2012-04-16,4.96047619047619
2012-04-17,4.986875
2012-04-18,5.094581699635896
2012-04-19,5.127226817267647
2012-04-20,5.179224536312501
2012-04-21,5.291922534568181
2012-04-22,5.2100387899
2012-04-23,5.159206013681252
2012-04-24,5.089392589964518
2012-04-25,5.041202056590697
2012-04-26,5.030816926784374
2012-04-27,5.025541801600002
2012-04-28,4.948282867594444
2012-04-29,4.902995542028571
2012-04-30,4.950281606237037
2012-05-01,4.967961824393331
2012-05-02,5.08419201134
2012-05-03,5.105032944464515
2012-05-04,5.105194483023406
2012-05-05,5.065191399914286
2012-05-06,5.062596987210345
2012-05-07,5.03562526256905
2012-05-08,5.044669705235295
2012-05-09,5.041008901744829
2012-05-10,4.991689537736361
2012-05-11,4.927250876036002
2012-05-12,4.945
2012-05-13,4.9433333333333325
2012-05-14,4.926104911291667
2012-05-15,4.962499999999999
2012-05-16,5.017194941556251
2012-05-17,5.022990033096153
2012-05-18,5.049977029252941
2012-05-19,5.064166666666666
2012-05-20,5.05
2012-05-21,5.0484842577523805
2012-05-22,5.051258218641666
2012-05-23,5.070078712188001
2012-05-24,5.0913536225411775
2012-05-25,5.089375000000001
2012-05-26,5.077692307692308
2012-05-27,5.050792766022222
2012-05-28,5.077857142857141
2012-05-29,5.063576827860815
2012-05-30,5.113079997282856
2012-05-31,5.1365708110979575
2012-06-01,5.20599539841
2012-06-02,5.1899999999999995
2012-06-03,5.193320086687501
2012-06-04,5.188722390130956
2012-06-05,5.356036192552383
2012-06-06,5.419216381598302
2012-06-07,5.462558787839287
2012-06-08,5.586665193755771
2012-06-09,5.567592877320834
2012-06-10,5.487061504770588
2012-06-11,5.49961740499697
2012-06-12,5.803756465251054
2012-06-13,5.8915386617352405
2012-06-14,5.8427788073603475
2012-06-15,5.9134438926333335
2012-06-16,6.398630870741268
2012-06-17,6.272997119149229
2012-06-18,6.160980842855387
2012-06-19,6.396294048322223
2012-06-20,6.5399417770714265
2012-06-21,6.657400980369442
2012-06-22,6.598596523589191
2012-06-23,6.494622018104347
2012-06-24,6.384365519594737
2012-06-25,6.24049745683333
2012-06-26,6.344247736120514
2012-06-27,6.525389789205143
2012-06-28,6.384516551589842
2012-06-29,6.557282505852942
2012-06-30,6.57027606549412
2012-07-01,6.568665923334615
2012-07-02,6.607437632111112
2012-07-03,6.562090555570791
2012-07-04,6.495970786994522
2012-07-05,6.622069740755714
2012-07-06,6.5496223722060005
2012-07-07,6.6696489400581065
